[2026-03-04 15:44:07] Log cleared for new killchain scan.
[2026-03-04 15:44:08] [START] [START] Kill Chain Audit: testphp.vulnweb.com (Profile: Full Scan, Aggression: Attack)
[2026-03-04 15:44:08] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Starting scan...", "phase": "Initialization"}
[2026-03-04 15:44:08] [INFO] [+] Resolved testphp.vulnweb.com to IP: 44.228.249.3
[2026-03-04 15:44:08] [INFO] [SETUP] Starting background traffic capture...
[2026-03-04 15:44:09] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Recon Phase...", "phase": "recon_phase"}
[2026-03-04 15:44:09] [PHASE] [PHASE] RECONNAISSANCE - Surface Area Discovery
[2026-03-04 15:44:09] [STAGE] [STAGE] Scanning for subdomains and active hosts...
[2026-03-04 15:44:17] [INFO] [+] Found 1 potential subdomains.
[2026-03-04 15:44:17] [STAGE] [STAGE] Resolving subdomain IPs...
[2026-03-04 15:45:20] [INFO] [+] Resolved 1 host IPs.
[2026-03-04 15:45:20] [STAGE] [STAGE] Detecting target technology stack...
[2026-03-04 15:45:21] [INFO] [+] Detected technologies: Server, Language
[2026-03-04 15:45:21] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Network Audit Phase...", "phase": "network_audit_phase"}
[2026-03-04 15:45:21] [PHASE] [PHASE] NETWORK AUDIT - Infrastructure Assessment
[2026-03-04 15:45:21] [INFO] [+] Resolved testphp.vulnweb.com to IP: 44.228.249.3
[2026-03-04 15:45:21] [STAGE] [STAGE] Running Nmap full scan on 44.228.249.3...
[2026-03-04 15:51:58] [INFO] [+] Nmap scan completed. Found 1 open ports.
[2026-03-04 15:51:58] [STAGE] [STAGE] Attempting brute-force on open services (Level: aggressive)...
[2026-03-04 15:51:59] [INFO] [+] No exploitable services found or brute-force failed.
[2026-03-04 15:51:59] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Waf Detect Phase...", "phase": "waf_detect_phase"}
[2026-03-04 15:51:59] [PHASE] [PHASE] WAF DETECTION
[2026-03-04 15:51:59] [STAGE] [STAGE] Checking for Web Application Firewall (WAF)...
[2026-03-04 15:52:06] [INFO] [+] No WAF detected.
[2026-03-04 15:52:06] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Web Audit Phase...", "phase": "web_audit_phase"}
[2026-03-04 15:52:06] [PHASE] [PHASE] WEB AUDIT - Application Assessment
[2026-03-04 15:52:06] [STAGE] [STAGE] Crawling web application (Max Pages: 1000)...
[2026-03-04 15:52:12] [INFO] [+] Crawler found 26 URLs, 38 forms, and 0 API endpoints.
[2026-03-04 15:52:12] [STAGE] [STAGE] Performing directory fuzzing (Max Depth: 4)...
[2026-03-04 15:52:22] [INFO] [+] Directory fuzzer found 3 potential paths.
[2026-03-04 15:52:22] [STAGE] [STAGE] Running advanced web vulnerability checks...
[2026-03-04 15:52:30] [INFO] [+] Web vulnerability scanner found 3 findings.
[2026-03-04 15:52:30] [STAGE] [STAGE] Running custom parameter injection scanner...
[2026-03-04 15:52:30] [INFO] [+] Custom scanner found 0 findings.
[2026-03-04 15:52:30] [STAGE] [STAGE] Running logic-based vulnerability checks...
[2026-03-04 15:52:30] [INFO] [+] Logic scanner found 0 findings.
[2026-03-04 15:52:30] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Zap Scan Phase...", "phase": "zap_scan_phase"}
[2026-03-04 15:52:30] [PHASE] [PHASE] ZAP SCAN - Comprehensive DAST
[2026-03-04 15:52:30] [STAGE] [STAGE] Starting OWASP ZAP quick scan...
[2026-03-04 15:52:30] [ZAP] [*] ZAP: Initializing on port 27330...
[2026-03-04 15:52:30] [ZAP] [*] Waiting for ZAP initialization on port 27330 (timeout: 240s)...
[2026-03-04 15:52:30] [ZAP] [ZAP Daemon] C:\Program Files\ZAP\Zed Attack Proxy>if exist "C:\Users\Divy\ZAP\.ZAP_JVM.properties" (set /p jvmopts= 0<"C:\Users\Divy\ZAP\.ZAP_JVM.properties" )  else (set jvmopts=-Xmx512m )
[2026-03-04 15:52:48] [ZAP] [ZAP Daemon] 17482 [ZAP-daemon] INFO  org.zaproxy.addon.network.internal.TlsUtils - Using supported SSL/TLS protocols: [TLSv1.2, TLSv1.3]
[2026-03-04 15:52:50] [ZAP] [ZAP Daemon] 20155 [ZAP-daemon] INFO  org.zaproxy.zap.control.ExtensionFactory - Extensions loaded
[2026-03-04 15:52:53] [ZAP] [ZAP Daemon] 22894 [ZAP-daemon] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:hsqldb:file:D:/NetShield/NetShieldAI/Services/temp/killchain_zap/killchain_27330/session/untitled1 (HSQL Database Engine 2.7)
[2026-03-04 15:52:54] [ZAP] [ZAP Daemon] 23412 [ZAP-daemon] INFO  org.flywaydb.core.internal.schemahistory.JdbcTableSchemaHistory - Schema history table "PUBLIC"."AUTHHELPER_FLYWAY_SCHEMA_HISTORY" does not exist yet
[2026-03-04 15:52:54] [ZAP] [ZAP Daemon] 23480 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbValidate - Successfully validated 6 migrations (execution time 00:00.197s)
[2026-03-04 15:52:54] [ZAP] [ZAP Daemon] 23630 [ZAP-daemon] INFO  org.flywaydb.core.internal.schemahistory.JdbcTableSchemaHistory - Creating Schema History table "PUBLIC"."AUTHHELPER_FLYWAY_SCHEMA_HISTORY" with baseline ...
[2026-03-04 15:52:55] [ZAP] [ZAP Daemon] 24337 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbBaseline - Successfully baselined schema with version: 0
[2026-03-04 15:52:55] [ZAP] [ZAP Daemon] 24413 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Current version of schema "PUBLIC": 0
[2026-03-04 15:52:55] [ZAP] [ZAP Daemon] 24611 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "1 - Create tables"
[2026-03-04 15:52:55] [ZAP] [ZAP Daemon] 25010 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "2 - Create storage tables"
[2026-03-04 15:52:56] [ZAP] [ZAP Daemon] 25383 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "3 - Improve diags"
[2026-03-04 15:52:56] [ZAP] [ZAP Daemon] 25635 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "4 - Web element selector"
[2026-03-04 15:52:56] [ZAP] [ZAP Daemon] 25714 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "5 - Af plan"
[2026-03-04 15:52:56] [ZAP] [ZAP Daemon] 25795 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "6 - Auth report data"
[2026-03-04 15:52:56] [ZAP] [ZAP Daemon] 25864 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Successfully applied 6 migrations to schema "PUBLIC", now at version v6 (execution time 00:00.394s)
[2026-03-04 15:53:07] [ZAP] [ZAP Daemon] 36712 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Auto-update Extension - Allows ZAP to check for updates
[2026-03-04 15:53:07] [ZAP] [ZAP Daemon] 36804 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Options Extension - Options Extension
[2026-03-04 15:53:07] [ZAP] [ZAP Daemon] 36804 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Edit Menu Extension - Edit Menu Extension
[2026-03-04 15:53:07] [ZAP] [ZAP Daemon] 36887 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing API Extension - Provides a rest based API for controlling and accessing ZAP
[2026-03-04 15:53:07] [ZAP] [ZAP Daemon] 37067 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing History Extension - History Extension
[2026-03-04 15:53:07] [ZAP] [ZAP Daemon] 37083 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing ExtensionReveal - Show hidden fields and enable disabled fields
[2026-03-04 15:53:07] [ZAP] [ZAP Daemon] 37102 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Search Extension - Search messages for strings and regular expressions
[2026-03-04 15:53:07] [ZAP] [ZAP Daemon] 37115 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Breakpoint Extension - Allows you to intercept and modify requests and responses
[2026-03-04 15:53:07] [ZAP] [ZAP Daemon] 37126 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Passive Scan Extension - Passive scanner
[2026-03-04 15:53:07] [ZAP] [ZAP Daemon] 37135 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Alerts Extension - Allows you to view and manage alerts
[2026-03-04 15:53:07] [ZAP] [ZAP Daemon] 37152 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Active Scan Extension - Active scanner, heavily based on the original Paros active scanner, but with additional tests added
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37217 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing ExtensionSequence - ExtensionSequence
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37223 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Standard Menus Extension - A set of common popup menus for miscellaneous tasks
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37228 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing ExtensionBruteForce - Forced browsing of files and directories using code from the OWASP DirBuster tool
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37240 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Compare Extension - Compares 2 sessions and generates an HTML file showing the differences
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37241 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing ExtensionInvoke - Invoke external applications passing context related information such as URLs and parameters
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37241 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Anti-CSRF Extension - Handles anti cross site request forgery (CSRF) tokens
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37300 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Authentication Extension - Authentication Extension
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37348 [ZAP-daemon] INFO  org.zaproxy.zap.extension.authentication.ExtensionAuthentication - Loaded authentication method types: [Form-based Authentication, HTTP/NTLM Authentication, Manual Authentication, Script-based Authentication, JSON-based Authentication]
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37359 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Users Extension - Users Extension
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37364 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Parameters Extension - Summarise and analyse FORM and URL parameters as well as cookies
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37368 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Script Extension - Script integration
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37395 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing ExtensionScripts - Scripting console, supports all JSR 223 scripting languages
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37438 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Forced User Extension - Forced User Extension
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37440 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing HTTP Sessions Extension - Extension handling HTTP sessions
[2026-03-04 15:53:08] [ZAP] [ZAP Daemon] 37446 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing ExtensionZest - Zest is a specialized scripting language, originally, from Mozilla specifically designed to be used in security tools
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38288 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing ExtensionDiff - ExtensionDiff
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38300 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing HTTP Panel Post Table View Extension - HTTP Panel Post Table View Extension
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38301 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Encoder Addon - Adds support for scriptable encoders to ZAP.
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38307 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Session Management Extension - Session Management Extension
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38324 [ZAP-daemon] INFO  org.zaproxy.zap.extension.sessions.ExtensionSessionManagement - Loaded session management method types: [Cookie-based Session Management, HTTP Authentication Session Management, Script-based Session Management]
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38330 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing HTTP Panel Form Table View Extension - HTTP Panel Form Table View Extension
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38331 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing WebSockets Support - Capture messages from WebSockets with the ability to set breakpoints.
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38399 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing SOAP/WSDL Support - Allows you to import a WSDL file containing operations which ZAP will access, adding them to the Sites tree.
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38405 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Core UI Extension - Core UI related functionality.
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38408 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Authorization Extension - Authorization Extension
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38414 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Requester - Allows to manually edit and send messages.
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38428 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing AJAX Spider - AJAX Spider, uses Crawljax
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38453 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing WebDriver Provider - Provides WebDrivers to control several browsers using Selenium and includes HtmlUnit browser.
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38514 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Refresh Sites Tree Extension - Adds menu item to refresh the Sites tree
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38514 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Help Extension - ZAP User Guide
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38517 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Call Home - Handles all of the calls to ZAP services
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38521 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Network Extension - Provides core networking capabilities.
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38629 [ZAP-daemon] INFO  org.zaproxy.addon.network.ConnectionOptions - Unsafe SSL/TLS renegotiation disabled.
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38640 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Extension Configuration Extension - Allows you to configure which extensions are loaded when ZAP starts
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38640 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Combined HTTP Panels Extension - Combined HTTP Panels Extension
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38643 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing HTTP Panel Hex View Extension - HTTP Panel Hex View Extension
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38645 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing HTTP Panel Image View Extension - HTTP Panel Image View Extension
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38645 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing HTTP Panel Query Table View Extension - HTTP Panel Query Table View Extension
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38646 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing HTTP Panel Syntax Highlighter View Extension - HTTP Panel Syntax Highlighter View Extension
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38646 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Keyboard Configuration Extension - Adds support for configurable keyboard shortcuts for all of the ZAP menus.
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38647 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Scanner Rule Configuration Extension - Active and passive rule configuration
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38653 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Statistics Extension - Statistics
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38657 [ZAP-daemon] INFO  org.zaproxy.zap.extension.stats.ExtensionStats - Start recording in memory stats
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38658 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Custom Pages Extension - Custom Pages Definition
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38661 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing ExtensionAlertFilters - Context alert rules filter
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38668 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Alert Filters Automation - Alert Filters Automation Framework Integration
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38678 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Active Scan Rules - Release status active scan rules
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38680 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Authentication Helper - Authentication Helper
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38703 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Client Spider Browser Based Authentication Support - Enables browser based authentication when performing an authenticated Client Spider scan.
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38713 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Authentication Helper Reports - Authentication Helper Reports
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38721 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing AJAX Spider Browser Based Authentication Support - Enables browser based authentication when performing an authenticated AJAX Spider scan.
[2026-03-04 15:53:09] [ZAP] [ZAP Daemon] 38723 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Automation Framework - Provides functionality to simplify using ZAP in an automated manner
