[2025-12-30 12:14:05] [*] Starting ZAP Quick Scan for http://testphp.vulnweb.com (User: 1)...
[2025-12-30 12:14:05] Checking for and terminating existing ZAP processes...
[2025-12-30 12:14:07] No running ZAP processes found.
[2025-12-30 12:14:07] 
--- Starting ZAP Quick Scan ---
[2025-12-30 12:14:07] Target: http://testphp.vulnweb.com
[2025-12-30 12:14:07] Report will be saved to: D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml
[2025-12-30 12:14:07] Executing command: C:\Program Files\ZAP\Zed Attack Proxy\zap.bat -cmd -quickurl http://testphp.vulnweb.com -quickout D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml -quickprogress
[2025-12-30 12:14:07] --- ZAP Output Stream Started ---
[2025-12-30 12:14:07] 
[2025-12-30 12:14:07] C:\Program Files\ZAP\Zed Attack Proxy>if exist "C:\Users\Divy\ZAP\.ZAP_JVM.properties" (set /p jvmopts= 0<"C:\Users\Divy\ZAP\.ZAP_JVM.properties" )  else (set jvmopts=-Xmx512m )
[2025-12-30 12:14:44] [                    ] 0% /
[2025-12-30 12:14:44] [                    ] 0% -
[2025-12-30 12:14:45] [                    ] 0% \
[2025-12-30 12:14:45] [                    ] 0% |
[2025-12-30 12:14:46] [                    ] 0% /
[2025-12-30 12:14:46] [                    ] 0% -
[2025-12-30 12:14:47] [                    ] 0% \
[2025-12-30 12:14:47] [                    ] 0% |
[2025-12-30 12:14:48] [                    ] 0% /
[2025-12-30 12:14:48] [                    ] 0% -
[2025-12-30 12:14:49] [                    ] 0% \
[2025-12-30 12:14:49] [                    ] 0% |
[2025-12-30 12:14:50] [                    ] 0% /
[2025-12-30 12:14:50] [                    ] 0% -
[2025-12-30 12:14:51] [                    ] 0% \
[2025-12-30 12:14:51] [                    ] 0% |
[2025-12-30 12:14:52] [                    ] 0% /
[2025-12-30 12:14:52] [                    ] 0% -
[2025-12-30 12:14:53] [                    ] 1% \
[2025-12-30 12:14:53] [                    ] 1% |
[2025-12-30 12:14:54] [                    ] 2% /
[2025-12-30 12:14:54] [                    ] 2% -
[2025-12-30 12:14:55] [                    ] 2% \
[2025-12-30 12:14:55] [                    ] 2% |
[2025-12-30 12:14:56] [                    ] 2% /
[2025-12-30 12:14:56] [                    ] 2% -
[2025-12-30 12:14:57] [                    ] 2% \
[2025-12-30 12:14:58] [                    ] 2% |
[2025-12-30 12:14:58] [                    ] 2% /
[2025-12-30 12:14:59] [                    ] 2% -
[2025-12-30 12:14:59] [                    ] 2% \
[2025-12-30 12:15:00] [                    ] 2% |
[2025-12-30 12:15:00] [                    ] 2% /
[2025-12-30 12:15:01] [                    ] 2% -
[2025-12-30 12:15:01] [                    ] 2% \
[2025-12-30 12:15:02] [                    ] 2% |
[2025-12-30 12:15:02] [                    ] 2% /
[2025-12-30 12:15:03] [                    ] 2% -
[2025-12-30 12:15:03] [                    ] 2% \
[2025-12-30 12:15:04] [                    ] 2% |
[2025-12-30 12:15:04] [                    ] 2% /
[2025-12-30 12:15:05] [                    ] 2% -
[2025-12-30 12:15:05] [                    ] 2% \
[2025-12-30 12:15:06] [                    ] 2% |
[2025-12-30 12:15:06] [                    ] 2% /
[2025-12-30 12:15:07] [                    ] 2% -
[2025-12-30 12:15:07] [                    ] 2% \
[2025-12-30 12:15:08] [                    ] 2% |
[2025-12-30 12:15:08] [                    ] 2% /
[2025-12-30 12:15:09] [                    ] 2% -
[2025-12-30 12:15:09] [                    ] 2% \
[2025-12-30 12:15:10] [                    ] 2% |
[2025-12-30 12:15:10] [                    ] 2% /
[2025-12-30 12:15:11] [                    ] 2% -
[2025-12-30 12:15:11] [                    ] 2% \
[2025-12-30 12:15:12] [                    ] 2% |
[2025-12-30 12:15:12] [                    ] 2% /
[2025-12-30 12:15:13] [                    ] 2% -
[2025-12-30 12:15:13] [                    ] 2% \
[2025-12-30 12:15:14] [                    ] 2% |
[2025-12-30 12:15:14] [                    ] 2% /
[2025-12-30 12:15:15] [                    ] 2% -
[2025-12-30 12:15:15] [                    ] 2% \
[2025-12-30 12:15:16] [                    ] 2% |
[2025-12-30 12:15:16] [                    ] 2% /
[2025-12-30 12:15:17] [                    ] 2% -
[2025-12-30 12:15:17] [                    ] 2% \
[2025-12-30 12:15:18] [                    ] 2% |
[2025-12-30 12:15:18] [                    ] 2% /
[2025-12-30 12:15:19] [                    ] 2% -
[2025-12-30 12:15:19] [                    ] 2% \
[2025-12-30 12:15:20] [                    ] 2% |
[2025-12-30 12:15:20] [                    ] 2% /
[2025-12-30 12:15:21] [                    ] 2% -
[2025-12-30 12:15:21] [                    ] 2% \
[2025-12-30 12:15:22] [                    ] 2% |
[2025-12-30 12:15:22] [                    ] 2% /
[2025-12-30 12:15:23] [                    ] 2% -
[2025-12-30 12:15:23] [                    ] 2% \
[2025-12-30 12:15:24] [                    ] 2% |
[2025-12-30 12:15:24] [                    ] 2% /
[2025-12-30 12:15:25] [                    ] 2% -
[2025-12-30 12:15:25] [                    ] 2% \
[2025-12-30 12:15:26] [                    ] 2% |
[2025-12-30 12:15:26] [                    ] 2% /
[2025-12-30 12:15:27] [                    ] 2% -
[2025-12-30 12:15:27] [                    ] 2% \
[2025-12-30 12:15:28] [                    ] 2% |
[2025-12-30 12:15:28] [                    ] 2% /
[2025-12-30 12:15:29] [                    ] 2% -
[2025-12-30 12:15:29] [                    ] 2% \
[2025-12-30 12:15:30] [                    ] 2% |
[2025-12-30 12:15:30] [                    ] 2% /
[2025-12-30 12:15:31] [                    ] 2% -
[2025-12-30 12:15:31] [                    ] 2% \
[2025-12-30 12:15:32] [                    ] 2% |
[2025-12-30 12:15:32] [                    ] 2% /
[2025-12-30 12:15:33] [                    ] 2% -
[2025-12-30 12:15:33] [                    ] 2% \
[2025-12-30 12:15:34] [                    ] 2% |
[2025-12-30 12:15:34] [                    ] 2% /
[2025-12-30 12:15:35] [                    ] 2% -
[2025-12-30 12:15:35] [                    ] 2% \
[2025-12-30 12:15:36] [                    ] 2% |
[2025-12-30 12:15:36] [                    ] 2% /
[2025-12-30 12:15:37] [                    ] 2% -
[2025-12-30 12:15:38] [                    ] 2% \
[2025-12-30 12:15:38] [                    ] 2% |
[2025-12-30 12:15:39] [                    ] 2% /
[2025-12-30 12:15:39] [                    ] 2% -
[2025-12-30 12:15:40] [                    ] 2% \
[2025-12-30 12:15:40] [                    ] 2% |
[2025-12-30 12:15:41] [                    ] 2% /
[2025-12-30 12:15:41] [                    ] 2% -
[2025-12-30 12:15:42] [                    ] 2% \
[2025-12-30 12:15:42] [                    ] 2% |
[2025-12-30 12:15:43] [                    ] 2% /
[2025-12-30 12:15:43] [                    ] 2% -
[2025-12-30 12:15:44] [                    ] 2% \
[2025-12-30 12:15:44] [                    ] 2% |
[2025-12-30 12:15:45] [                    ] 2% /
[2025-12-30 12:15:45] [                    ] 2% -
[2025-12-30 12:15:46] [                    ] 2% \
[2025-12-30 12:15:46] [                    ] 2% |
[2025-12-30 12:15:47] [                    ] 2% /
[2025-12-30 12:15:47] [                    ] 2% -
[2025-12-30 12:15:48] [                    ] 2% \
[2025-12-30 12:15:48] [                    ] 2% |
[2025-12-30 12:15:49] [                    ] 2% /
[2025-12-30 12:15:49] [                    ] 2% -
[2025-12-30 12:15:50] [                    ] 2% \
[2025-12-30 12:15:50] [                    ] 2% |
[2025-12-30 12:15:51] [                    ] 2% /
[2025-12-30 12:15:51] [                    ] 2% -
[2025-12-30 12:15:52] [                    ] 2% \
[2025-12-30 12:15:52] [                    ] 2% |
[2025-12-30 12:15:53] [                    ] 2% /
[2025-12-30 12:15:53] [                    ] 2% -
[2025-12-30 12:15:54] [                    ] 2% \
[2025-12-30 12:15:54] [                    ] 2% |
[2025-12-30 12:15:55] [                    ] 2% /
[2025-12-30 12:15:55] [                    ] 2% -
[2025-12-30 12:15:56] [                    ] 2% \
[2025-12-30 12:15:56] [                    ] 2% |
[2025-12-30 12:15:57] [                    ] 2% /
[2025-12-30 12:15:57] [                    ] 2% -
[2025-12-30 12:15:58] [                    ] 2% \
[2025-12-30 12:15:58] [                    ] 2% |
[2025-12-30 12:15:59] [                    ] 2% /
[2025-12-30 12:15:59] [                    ] 2% -
[2025-12-30 12:16:00] [                    ] 2% \
[2025-12-30 12:16:00] [                    ] 2% |
[2025-12-30 12:16:01] [                    ] 2% /
[2025-12-30 12:16:01] [                    ] 2% -
[2025-12-30 12:16:02] [                    ] 2% \
[2025-12-30 12:16:02] [                    ] 2% |
[2025-12-30 12:16:03] [                    ] 2% /
[2025-12-30 12:16:03] [                    ] 2% -
[2025-12-30 12:16:04] [                    ] 2% \
[2025-12-30 12:16:04] [                    ] 2% |
[2025-12-30 12:16:05] [                    ] 2% /
[2025-12-30 12:16:05] [                    ] 2% -
[2025-12-30 12:16:06] [                    ] 2% \
[2025-12-30 12:16:06] [                    ] 2% |
[2025-12-30 12:16:07] [                    ] 2% /
[2025-12-30 12:16:07] [                    ] 3% -
[2025-12-30 12:16:08] [                    ] 3% \
[2025-12-30 12:16:08] [                    ] 3% |
[2025-12-30 12:16:09] [                    ] 4% /
[2025-12-30 12:16:09] [                    ] 4% -
[2025-12-30 12:16:10] [                    ] 4% \
[2025-12-30 12:16:10] [                    ] 4% |
[2025-12-30 12:16:11] [                    ] 4% /
[2025-12-30 12:16:11] [                    ] 4% -
[2025-12-30 12:16:12] [                    ] 4% \
[2025-12-30 12:16:12] [                    ] 4% |
[2025-12-30 12:16:13] [                    ] 4% /
[2025-12-30 12:16:13] [                    ] 4% -
[2025-12-30 12:16:14] [                    ] 4% \
[2025-12-30 12:16:14] [                    ] 4% |
[2025-12-30 12:16:15] [                    ] 4% /
[2025-12-30 12:16:15] [                    ] 4% -
[2025-12-30 12:16:16] [                    ] 4% \
[2025-12-30 12:16:16] [                    ] 4% |
[2025-12-30 12:16:17] [                    ] 4% /
[2025-12-30 12:16:18] [                    ] 4% -
[2025-12-30 12:16:18] [                    ] 4% \
[2025-12-30 12:16:19] [                    ] 4% |
[2025-12-30 12:16:19] [                    ] 4% /
[2025-12-30 12:16:20] [                    ] 4% -
[2025-12-30 12:16:20] [                    ] 4% \
[2025-12-30 12:16:21] [                    ] 4% |
[2025-12-30 12:16:21] [                    ] 4% /
[2025-12-30 12:16:22] [                    ] 4% -
[2025-12-30 12:16:22] [                    ] 4% \
[2025-12-30 12:16:23] [                    ] 4% |
[2025-12-30 12:16:23] [                    ] 4% /
[2025-12-30 12:16:24] [                    ] 4% -
[2025-12-30 12:16:24] [                    ] 4% \
[2025-12-30 12:16:25] [                    ] 4% |
[2025-12-30 12:16:25] [                    ] 4% /
[2025-12-30 12:16:26] [                    ] 4% -
[2025-12-30 12:16:26] [                    ] 4% \
[2025-12-30 12:16:27] [                    ] 4% |
[2025-12-30 12:16:27] [                    ] 4% /
[2025-12-30 12:16:28] [                    ] 4% -
[2025-12-30 12:16:28] [                    ] 4% \
[2025-12-30 12:16:29] [                    ] 4% |
[2025-12-30 12:16:29] [                    ] 4% /
[2025-12-30 12:16:30] [                    ] 4% -
[2025-12-30 12:16:30] [                    ] 4% \
[2025-12-30 12:16:31] [                    ] 4% |
[2025-12-30 12:16:31] [                    ] 4% /
[2025-12-30 12:16:32] [                    ] 4% -
[2025-12-30 12:16:32] [                    ] 4% \
[2025-12-30 12:16:33] [                    ] 4% |
[2025-12-30 12:16:33] [                    ] 4% /
[2025-12-30 12:16:34] [                    ] 4% -
[2025-12-30 12:16:34] [                    ] 4% \
[2025-12-30 12:16:35] [                    ] 4% |
[2025-12-30 12:16:35] [                    ] 4% /
[2025-12-30 12:16:36] [                    ] 4% -
[2025-12-30 12:16:36] [                    ] 4% \
[2025-12-30 12:16:37] [                    ] 4% |
[2025-12-30 12:16:37] [                    ] 4% /
[2025-12-30 12:16:38] [                    ] 4% -
[2025-12-30 12:16:38] [                    ] 4% \
[2025-12-30 12:16:39] [                    ] 4% |
[2025-12-30 12:16:39] [                    ] 4% /
[2025-12-30 12:16:40] [                    ] 4% -
[2025-12-30 12:16:40] [                    ] 4% \
[2025-12-30 12:16:41] [                    ] 4% |
[2025-12-30 12:16:41] [                    ] 4% /
[2025-12-30 12:16:42] [                    ] 4% -
[2025-12-30 12:16:42] [                    ] 4% \
[2025-12-30 12:16:43] [                    ] 4% |
[2025-12-30 12:16:43] [                    ] 4% /
[2025-12-30 12:16:44] [                    ] 4% -
[2025-12-30 12:16:44] [                    ] 4% \
[2025-12-30 12:16:45] [                    ] 4% |
[2025-12-30 12:16:45] [                    ] 4% /
[2025-12-30 12:16:46] [                    ] 4% -
[2025-12-30 12:16:46] [                    ] 4% \
[2025-12-30 12:16:47] [                    ] 4% |
[2025-12-30 12:16:47] [                    ] 4% /
[2025-12-30 12:16:48] [                    ] 4% -
[2025-12-30 12:16:48] [                    ] 4% \
[2025-12-30 12:16:49] [                    ] 4% |
[2025-12-30 12:16:49] [                    ] 4% /
[2025-12-30 12:16:50] [                    ] 4% -
[2025-12-30 12:16:50] [                    ] 4% \
[2025-12-30 12:16:51] [                    ] 4% |
[2025-12-30 12:16:51] [                    ] 4% /
[2025-12-30 12:16:52] [=                   ] 6% -
[2025-12-30 12:16:52] [=                   ] 6% \
[2025-12-30 12:16:53] [=                   ] 6% |
[2025-12-30 12:16:53] [=                   ] 6% /
[2025-12-30 12:16:54] [=                   ] 9% -
[2025-12-30 12:16:55] [=                   ] 9% \
[2025-12-30 12:16:55] [=                   ] 9% |
[2025-12-30 12:16:56] [=                   ] 9% /
[2025-12-30 12:16:56] [==                  ] 10% -
[2025-12-30 12:16:57] [==                  ] 10% \
[2025-12-30 12:16:57] [==                  ] 10% |
[2025-12-30 12:16:58] [==                  ] 10% /
[2025-12-30 12:16:58] [==                  ] 10% -
[2025-12-30 12:16:59] [==                  ] 10% \
[2025-12-30 12:16:59] [==                  ] 11% |
[2025-12-30 12:17:00] [==                  ] 11% /
[2025-12-30 12:17:00] [==                  ] 11% -
[2025-12-30 12:17:01] [==                  ] 11% \
[2025-12-30 12:17:01] [==                  ] 11% |
[2025-12-30 12:17:02] [==                  ] 11% /
[2025-12-30 12:17:02] [==                  ] 11% -
[2025-12-30 12:17:03] [==                  ] 12% \
[2025-12-30 12:17:03] [==                  ] 12% |
[2025-12-30 12:17:04] [==                  ] 12% /
[2025-12-30 12:17:04] [==                  ] 12% -
[2025-12-30 12:17:05] [==                  ] 12% \
[2025-12-30 12:17:05] [==                  ] 12% |
[2025-12-30 12:17:06] [==                  ] 12% /
[2025-12-30 12:17:06] [==                  ] 13% -
[2025-12-30 12:17:07] [==                  ] 13% \
[2025-12-30 12:17:07] [==                  ] 13% |
[2025-12-30 12:17:08] [==                  ] 13% /
[2025-12-30 12:17:08] [==                  ] 13% -
[2025-12-30 12:17:09] [==                  ] 13% \
[2025-12-30 12:17:09] [==                  ] 14% |
[2025-12-30 12:17:10] [==                  ] 14% /
[2025-12-30 12:17:10] [==                  ] 14% -
[2025-12-30 12:17:11] [==                  ] 14% \
[2025-12-30 12:17:11] [==                  ] 14% |
[2025-12-30 12:17:12] [==                  ] 14% /
[2025-12-30 12:17:12] [==                  ] 14% -
[2025-12-30 12:17:13] [==                  ] 14% \
[2025-12-30 12:17:13] [==                  ] 14% |
[2025-12-30 12:17:14] [==                  ] 14% /
[2025-12-30 12:17:14] [==                  ] 14% -
[2025-12-30 12:17:15] [==                  ] 14% \
[2025-12-30 12:17:15] [==                  ] 14% |
[2025-12-30 12:17:16] [==                  ] 14% /
[2025-12-30 12:17:16] [==                  ] 14% -
[2025-12-30 12:17:17] [==                  ] 14% \
[2025-12-30 12:17:17] [==                  ] 14% |
[2025-12-30 12:17:18] [==                  ] 14% /
[2025-12-30 12:17:18] [==                  ] 14% -
[2025-12-30 12:17:19] [==                  ] 14% \
[2025-12-30 12:17:19] [==                  ] 14% |
[2025-12-30 12:17:20] [==                  ] 14% /
[2025-12-30 12:17:20] [==                  ] 14% -
[2025-12-30 12:17:21] [==                  ] 14% \
[2025-12-30 12:17:21] [==                  ] 14% |
[2025-12-30 12:17:22] [==                  ] 14% /
[2025-12-30 12:17:22] [==                  ] 14% -
[2025-12-30 12:17:23] [==                  ] 14% \
[2025-12-30 12:17:23] [==                  ] 14% |
[2025-12-30 12:17:24] [==                  ] 14% /
[2025-12-30 12:17:24] [==                  ] 14% -
[2025-12-30 12:17:25] [==                  ] 14% \
[2025-12-30 12:17:25] [==                  ] 14% |
[2025-12-30 12:17:26] [==                  ] 14% /
[2025-12-30 12:17:26] [==                  ] 14% -
[2025-12-30 12:17:27] [==                  ] 14% \
[2025-12-30 12:17:27] [==                  ] 14% |
[2025-12-30 12:17:28] [==                  ] 14% /
[2025-12-30 12:17:28] [==                  ] 14% -
[2025-12-30 12:17:29] [==                  ] 14% \
[2025-12-30 12:17:29] [==                  ] 14% |
[2025-12-30 12:17:30] [==                  ] 14% /
[2025-12-30 12:17:30] [==                  ] 14% -
[2025-12-30 12:17:31] [==                  ] 14% \
[2025-12-30 12:17:31] [==                  ] 14% |
[2025-12-30 12:17:32] [==                  ] 14% /
[2025-12-30 12:17:32] [==                  ] 14% -
[2025-12-30 12:17:33] [==                  ] 14% \
[2025-12-30 12:17:33] [==                  ] 14% |
[2025-12-30 12:17:34] [==                  ] 14% /
[2025-12-30 12:17:34] [==                  ] 14% -
[2025-12-30 12:17:35] [==                  ] 14% \
[2025-12-30 12:17:36] [==                  ] 14% |
[2025-12-30 12:17:36] [==                  ] 14% /
[2025-12-30 12:17:37] [==                  ] 14% -
[2025-12-30 12:17:37] [==                  ] 14% \
[2025-12-30 12:17:38] [==                  ] 14% |
[2025-12-30 12:17:38] [==                  ] 14% /
[2025-12-30 12:17:39] [==                  ] 14% -
[2025-12-30 12:17:39] [==                  ] 14% \
[2025-12-30 12:17:40] [==                  ] 14% |
[2025-12-30 12:17:40] [==                  ] 14% /
[2025-12-30 12:17:41] [==                  ] 14% -
[2025-12-30 12:17:41] [==                  ] 14% \
[2025-12-30 12:17:42] [==                  ] 14% |
[2025-12-30 12:17:42] [==                  ] 14% /
[2025-12-30 12:17:43] [==                  ] 14% -
[2025-12-30 12:17:43] [==                  ] 14% \
[2025-12-30 12:17:44] [==                  ] 14% |
[2025-12-30 12:17:44] [==                  ] 14% /
[2025-12-30 12:17:45] [==                  ] 14% -
[2025-12-30 12:17:45] [==                  ] 14% \
[2025-12-30 12:17:46] [==                  ] 14% |
[2025-12-30 12:17:46] [==                  ] 14% /
[2025-12-30 12:17:47] [==                  ] 14% -
[2025-12-30 12:17:47] [==                  ] 14% \
[2025-12-30 12:17:48] [==                  ] 14% |
[2025-12-30 12:17:48] [==                  ] 14% /
[2025-12-30 12:17:49] [==                  ] 14% -
[2025-12-30 12:17:49] [==                  ] 14% \
[2025-12-30 12:17:50] [===                 ] 15% |
[2025-12-30 12:17:50] [===                 ] 15% /
[2025-12-30 12:17:51] [===                 ] 15% -
[2025-12-30 12:17:51] [===                 ] 15% \
[2025-12-30 12:17:52] [===                 ] 15% |
[2025-12-30 12:17:52] [===                 ] 15% /
[2025-12-30 12:17:53] [===                 ] 16% -
[2025-12-30 12:17:53] [===                 ] 16% \
[2025-12-30 12:17:54] [===                 ] 16% |
[2025-12-30 12:17:54] [===                 ] 16% /
[2025-12-30 12:17:55] [===                 ] 16% -
[2025-12-30 12:17:55] [===                 ] 16% \
[2025-12-30 12:17:56] [===                 ] 16% |
[2025-12-30 12:17:56] [===                 ] 16% /
[2025-12-30 12:17:57] [===                 ] 16% -
[2025-12-30 12:17:57] [===                 ] 16% \
[2025-12-30 12:17:58] [===                 ] 16% |
[2025-12-30 12:17:58] [===                 ] 16% /
[2025-12-30 12:17:59] [===                 ] 16% -
[2025-12-30 12:17:59] [===                 ] 16% \
[2025-12-30 12:18:00] [===                 ] 16% |
[2025-12-30 12:18:00] [===                 ] 16% /
[2025-12-30 12:18:01] [===                 ] 16% -
[2025-12-30 12:18:01] [===                 ] 16% \
[2025-12-30 12:18:02] [===                 ] 16% |
[2025-12-30 12:18:02] [===                 ] 16% /
[2025-12-30 12:18:03] [===                 ] 16% -
[2025-12-30 12:18:03] [===                 ] 16% \
[2025-12-30 12:18:04] [===                 ] 16% |
[2025-12-30 12:18:04] [===                 ] 16% /
[2025-12-30 12:18:05] [===                 ] 16% -
[2025-12-30 12:18:05] [===                 ] 16% \
[2025-12-30 12:18:06] [===                 ] 16% |
[2025-12-30 12:18:06] [===                 ] 16% /
[2025-12-30 12:18:07] [===                 ] 16% -
[2025-12-30 12:18:07] [===                 ] 16% \
[2025-12-30 12:18:08] [===                 ] 16% |
[2025-12-30 12:18:08] [===                 ] 17% /
[2025-12-30 12:18:09] [===                 ] 17% -
[2025-12-30 12:18:09] [===                 ] 17% \
[2025-12-30 12:18:10] [===                 ] 17% |
[2025-12-30 12:18:10] [===                 ] 17% /
[2025-12-30 12:18:11] [===                 ] 18% -
[2025-12-30 12:18:11] [===                 ] 18% \
[2025-12-30 12:18:12] [===                 ] 18% |
[2025-12-30 12:18:12] [===                 ] 18% /
[2025-12-30 12:18:13] [===                 ] 18% -
[2025-12-30 12:18:13] [===                 ] 18% \
[2025-12-30 12:18:14] [===                 ] 18% |
[2025-12-30 12:18:14] [===                 ] 18% /
[2025-12-30 12:18:15] [===                 ] 18% -
[2025-12-30 12:18:15] [===                 ] 18% \
[2025-12-30 12:18:16] [===                 ] 18% |
[2025-12-30 12:18:16] [===                 ] 18% /
[2025-12-30 12:18:17] [===                 ] 18% -
[2025-12-30 12:18:18] [===                 ] 18% \
[2025-12-30 12:18:18] [===                 ] 18% |
[2025-12-30 12:18:19] [===                 ] 18% /
[2025-12-30 12:18:19] [===                 ] 18% -
[2025-12-30 12:18:20] [===                 ] 18% \
[2025-12-30 12:18:20] [===                 ] 18% |
[2025-12-30 12:18:21] [===                 ] 18% /
[2025-12-30 12:18:21] [===                 ] 18% -
[2025-12-30 12:18:22] [===                 ] 19% \
[2025-12-30 12:18:22] [===                 ] 19% |
[2025-12-30 12:18:23] [===                 ] 19% /
[2025-12-30 12:18:23] [===                 ] 19% -
[2025-12-30 12:18:24] [===                 ] 19% \
[2025-12-30 12:18:24] [===                 ] 19% |
[2025-12-30 12:18:25] [===                 ] 19% /
[2025-12-30 12:18:25] [====                ] 20% -
[2025-12-30 12:18:26] [====                ] 20% \
[2025-12-30 12:18:26] [====                ] 20% |
[2025-12-30 12:18:27] [====                ] 20% /
[2025-12-30 12:18:27] [====                ] 20% -
[2025-12-30 12:18:28] [====                ] 20% \
[2025-12-30 12:18:28] [====                ] 21% |
[2025-12-30 12:18:29] [====                ] 21% /
[2025-12-30 12:18:29] [====                ] 21% -
[2025-12-30 12:18:30] [====                ] 21% \
[2025-12-30 12:18:30] [====                ] 21% |
[2025-12-30 12:18:31] [====                ] 21% /
[2025-12-30 12:18:31] [====                ] 21% -
[2025-12-30 12:18:32] [====                ] 21% \
[2025-12-30 12:18:32] [====                ] 22% |
[2025-12-30 12:18:33] [====                ] 22% /
[2025-12-30 12:18:33] [====                ] 22% -
[2025-12-30 12:18:34] [====                ] 22% \
[2025-12-30 12:18:34] [====                ] 23% |
[2025-12-30 12:18:35] [====                ] 23% /
[2025-12-30 12:18:35] [====                ] 23% -
[2025-12-30 12:18:36] [====                ] 23% \
[2025-12-30 12:18:36] [====                ] 23% |
[2025-12-30 12:18:37] [====                ] 23% /
[2025-12-30 12:18:37] [====                ] 23% -
[2025-12-30 12:18:38] [====                ] 24% \
[2025-12-30 12:18:38] [====                ] 24% |
[2025-12-30 12:18:39] [=====               ] 25% /
[2025-12-30 12:18:39] [=====               ] 25% -
[2025-12-30 12:18:40] [=====               ] 25% \
[2025-12-30 12:18:40] [=====               ] 25% |
[2025-12-30 12:18:41] [=====               ] 25% /
[2025-12-30 12:18:41] [=====               ] 25% -
[2025-12-30 12:18:42] [=====               ] 25% \
[2025-12-30 12:18:42] [=====               ] 25% |
[2025-12-30 12:18:43] [=====               ] 26% /
[2025-12-30 12:18:43] [=====               ] 26% -
[2025-12-30 12:18:44] [=====               ] 27% \
[2025-12-30 12:18:44] [=====               ] 27% |
[2025-12-30 12:18:45] [=====               ] 27% /
[2025-12-30 12:18:45] [=====               ] 27% -
[2025-12-30 12:18:46] [=====               ] 27% \
[2025-12-30 12:18:46] [=====               ] 27% |
[2025-12-30 12:18:47] [=====               ] 27% /
[2025-12-30 12:18:47] [=====               ] 27% -
[2025-12-30 12:18:48] [=====               ] 27% \
[2025-12-30 12:18:48] [=====               ] 27% |
[2025-12-30 12:18:49] [=====               ] 27% /
[2025-12-30 12:18:49] [=====               ] 27% -
[2025-12-30 12:18:50] [=====               ] 27% \
[2025-12-30 12:18:50] [=====               ] 27% |
[2025-12-30 12:18:51] [=====               ] 27% /
[2025-12-30 12:18:51] [=====               ] 27% -
[2025-12-30 12:18:52] [=====               ] 27% \
[2025-12-30 12:18:52] [=====               ] 27% |
[2025-12-30 12:18:53] [=====               ] 27% /
